20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC,20191126_IMAC
UV1 (260 nm)_volume,UV1 (260 nm)_mAU,UV2 (280 nm)_volume,UV2 (280 nm)_mAU,Conductivity_volume,Conductivity_mS/cm,%B_volume,%B_%,System Pressure_volume,System Pressure_psi
0.000500026682857424,0.746999983675778,0.000500026682857424,0,0.000500026682857424,28.0166492462158,0,0,0.00503362016752362,5
0.00503362016752362,1.10100000165403,0.00503362016752362,0,0.00503362016752362,28.0166492462158,0.0246680788695812,0,0.0346686504781246,5
0.0103672603145242,0.783999974373728,0.0103672603145242,NaN,0.0103672603145242,28.0166492462158,0.0580033212900162,0,0.0713374242186546,8
0.0146675035357475,0.783999974373728,0.0146675035357475,NaN,0.0146675035357475,28.0482044219971,0.0913052335381508,0,0.101305820047855,11
0.0213345531374216,-1.26000004820526,0.0213345531374216,NaN,0.0213345531374216,28.0166492462158,0.124640479683876,0,0.134641051292419,11
0.0280016027390957,-3.20799998007715,0.0280016027390957,NaN,0.0280016027390957,27.9535503387451,0.157975748181343,0,0.171309843659401,11
0.0346686504781246,-4.56399982795119,0.0346686504781246,-8.56800004839897,0.0346686504781246,27.7312831878662,0.19131101667881,0,0.201311588287354,11
0.0413357019424438,-5.4500000551343,0.0413357019424438,-8.58400017023087,0.0413357019424438,27.7628326416016,0.224646285176277,0,0.234646856784821,11
0.0480027496814728,-6.04700017720461,0.0480027496814728,-8.38899984955788,0.0480027496814728,27.7312831878662,0.257981538772583,0,0.271315604448318,11
0.0546697974205017,-6.38800021260977,0.0546697974205017,-8.12000036239624,0.0546697974205017,27.7312831878662,0.291316777467728,0,0.304650872945786,11
0.0613368414342403,-6.38800021260977,0.0613368414342403,-8.12000036239624,0.0613368414342403,27.7628326416016,0.324652045965195,0,0.334652632474899,11
0.0680039003491402,-6.51500001549721,0.0680039003491402,-7.73400021716952,0.0680039003491402,27.7943820953369,0.357987314462662,0,0.367987900972366,11
0.0746709480881691,-6.50699995458126,0.0746709480881691,-7.27899977937341,0.0746709480881691,27.8259296417236,0.391322582960129,0,0.401323169469833,11
0.081337995827198,-6.47500017657876,0.081337995827198,-6.82500004768372,0.081337995827198,27.952127456665,0.424657851457596,0,0.437991946935654,11
0.0879717096686363,-6.31899992004037,0.0879717096686363,-6.40199985355139,0.0879717096686363,28.0152225494385,0.457993119955063,0,0.471327215433121,11
0.0946387648582459,-6.11699977889657,0.0946387648582459,-5.92500017955899,0.0946387648582459,28.0783195495605,0.49132838845253,0,0.504662454128265,11
0.101305820047855,-5.92199992388487,0.101305820047855,-5.48700010403991,0.101305820047855,28.172966003418,0.524663507938385,0,0.537997543811798,11
0.107972860336304,-5.63699984923005,0.107972860336304,-5.08200004696846,0.107972860336304,28.2045154571533,0.557998657226563,0,0.571332633495331,11
0.114639908075333,-5.40099991485476,0.114639908075333,-4.62999986484647,0.114639908075333,28.2375011444092,0.591333746910095,0,0.604667723178864,11
0.121306955814362,-5.1380000077188,0.121306955814362,-4.250000230968,0.121306955814362,28.3006057739258,0.624668836593628,0,0.634669303894043,11
0.127974003553391,-4.87999990582466,0.127974003553391,-3.87399992905557,0.127974003553391,28.3006057739258,0.664737701416016,0,0.666379511356354,11
0.134641051292419,-4.61799977347255,0.134641051292419,-3.52400005795062,0.134641051292419,28.3006057739258,0.671379864215851,0,0.673880040645599,10
0.14130811393261,-4.36000013723969,0.14130811393261,-3.1769999768585,0.14130811393261,28.3307075500488,0.679713726043701,0,0.68221390247345,7
0.147975161671638,-4.36000013723969,0.147975161671638,-3.1769999768585,0.147975161671638,28.3307075500488,0.688047587871552,0,0.6905477643013,7
0.154642224311829,-4.13799984380603,0.154642224311829,-2.87500000558794,0.154642224311829,28.2045154571533,0.696381449699402,0,0.69888162612915,7
0.161309272050858,-3.87699995189905,0.161309272050858,-2.58799991570413,0.161309272050858,28.3622570037842,0.704715311527252,0,0.70804888010025,7
0.167976319789886,-3.61100002191961,0.167976319789886,-2.26700003258884,0.167976319789886,28.3307075500488,0.713049232959747,0,0.716382801532745,7
0.174643382430077,-3.34800011478364,0.174643382430077,-1.96700007654727,0.174643382430077,28.3292655944824,0.721383154392242,0,0.723883330821991,7
0.181310430169106,-3.13699990510941,0.181310430169106,-1.70000002253801,0.181310430169106,28.3292655944824,0.729717016220093,0,0.733050584793091,7
0.187977477908134,-2.91400006972253,0.187977477908134,-1.45800004247576,0.187977477908134,28.2977161407471,0.738050937652588,0,0.740551114082336,7
0.194644540548325,-2.693000016734,0.194644540548325,-1.21300003957003,0.194644540548325,28.2955570220947,0.746384799480438,0,0.749718368053436,7
0.201311588287354,-2.51100002788007,0.201311588287354,-0.974999973550439,0.201311588287354,28.264009475708,0.754718720912933,0,0.757218897342682,6
0.207978650927544,-2.3350000847131,0.207978650927544,-0.798000022768974,0.207978650927544,28.2625694274902,0.763052582740784,0,0.766386151313782,5
0.214645698666573,-2.14400002732873,0.214645698666573,-0.591000018175691,0.214645698666573,28.2310276031494,0.771386444568634,0,0.774720013141632,5
0.221312746405602,-1.98800000362098,0.221312746405602,-0.40300001273863,0.221312746405602,28.1980457305908,0.779720306396484,0,0.783053874969482,5
0.227979809045792,-1.81599997449666,0.227979809045792,-0.243999995291233,0.227979809045792,28.1980457305908,0.788054168224335,0,0.791387736797333,5
0.234646856784821,-1.81599997449666,0.234646856784821,-0.243999995291233,0.234646856784821,28.1328144073486,0.796388030052185,0,0.799721598625183,6
0.241313919425011,-1.64399994537234,0.241313919425011,-0.052999999752501,0.241313919425011,28.1313781738281,0.804721891880035,0,0.808055460453033,6
0.24798096716404,-1.503000035882,0.24798096716404,0.0950000030570664,0.24798096716404,28.1313781738281,0.813047409057617,0,0.816380977630615,10
0.254648000001907,-1.36400002520531,0.254648000001907,0.234999999520369,0.254648000001907,28.0984077453613,0.821381270885468,0,0.824714839458466,23
0.261315047740936,-1.23199995141476,0.261315047740936,0.377999996999279,0.261315047740936,28.0984077453613,0.829715132713318,0,0.833048701286316,38
0.267982095479965,-1.10100000165403,0.267982095479965,0.513000006321818,0.267982095479965,28.0647239685059,0.838048994541168,0,0.840615808963776,5
0.274649143218994,-1.01000000722706,0.274649143218994,0.633999996352941,0.274649143218994,28.0647239685059,0.845616102218628,0,0.848116278648376,5
0.281316190958023,-0.912000017706305,0.281316190958023,0.7259999983944,0.281316190958023,28.0317630767822,0.853949964046478,0,0.856441795825958,5
0.287983238697052,-0.783000024966896,0.287983238697052,0.837999978102744,0.287983238697052,28.0317630767822,0.86227548122406,0,0.865609049797058,5
0.294650286436081,-0.662999984342605,0.294650286436081,0.956000003498048,0.294650286436081,28.0303325653076,0.87060934305191,0,0.873942911624908,5
0.301317363977432,-0.584000023081899,0.301317363977432,1.07700005173683,0.301317363977432,27.9988059997559,0.878943204879761,0,0.881443381309509,6
0.307984411716461,-0.500000023748726,0.307984411716461,1.15000002551824,0.307984411716461,27.9672756195068,0.887277066707611,0,0.88977724313736,6
0.31465145945549,-0.395000010030344,0.31465145945549,1.2410000199452,0.31465145945549,27.9651374816895,0.895610928535461,0,0.898944497108459,6
0.321318507194519,-0.395000010030344,0.321318507194519,1.2410000199452,0.321318507194519,27.9651374816895,0.903944790363312,0,0.90644496679306,6
0.327985554933548,-0.303000007988885,0.327985554933548,1.34199997410178,0.327985554933548,27.9651374816895,0.912278652191162,0,0.914778828620911,5
0.334652632474899,-0.241999994614162,0.334652632474899,1.41400005668402,0.334652632474899,27.9321804046631,0.920612514019012,0,0.923112690448761,5
