20191126_IMAC2,20191126_IMAC2,20191126_IMAC2,20191126_IMAC2,20191126_IMAC2,20191126_IMAC2
UV1 (260 nm)_volume,UV1 (260 nm)_mAU,UV2 (280 nm)_volume,UV2 (280 nm)_mAU,%B_volume,%B_%
0.000500026682857424,0.746999983675778,0.000500026682857424,0,0,0
0.00503362016752362,1.10100000165403,0.00503362016752362,0,0.0246680788695812,0
0.0103672603145242,0.783999974373728,0.0103672603145242,NaN,0.0580033212900162,0
0.0146675035357475,0.783999974373728,0.0146675035357475,NaN,0.0913052335381508,0
0.0213345531374216,-1.26000004820526,0.0213345531374216,NaN,0.124640479683876,0
0.0280016027390957,-3.20799998007715,0.0280016027390957,NaN,0.157975748181343,0
0.0346686504781246,-4.56399982795119,0.0346686504781246,-8.56800004839897,0.19131101667881,0
0.0413357019424438,-5.4500000551343,0.0413357019424438,-8.58400017023087,0.224646285176277,0
0.0480027496814728,-6.04700017720461,0.0480027496814728,-8.38899984955788,0.257981538772583,0
0.0546697974205017,-6.38800021260977,0.0546697974205017,-8.12000036239624,0.291316777467728,0
0.0613368414342403,-6.38800021260977,0.0613368414342403,-8.12000036239624,0.324652045965195,0
0.0680039003491402,-6.51500001549721,0.0680039003491402,-7.73400021716952,0.357987314462662,0
0.0746709480881691,-6.50699995458126,0.0746709480881691,-7.27899977937341,0.391322582960129,0
0.081337995827198,-6.47500017657876,0.081337995827198,-6.82500004768372,0.424657851457596,0
0.0879717096686363,-6.31899992004037,0.0879717096686363,-6.40199985355139,0.457993119955063,0
0.0946387648582459,-6.11699977889657,0.0946387648582459,-5.92500017955899,0.49132838845253,0
0.101305820047855,-5.92199992388487,0.101305820047855,-5.48700010403991,0.524663507938385,0
0.107972860336304,-5.63699984923005,0.107972860336304,-5.08200004696846,0.557998657226563,0
0.114639908075333,-5.40099991485476,0.114639908075333,-4.62999986484647,0.591333746910095,0
0.121306955814362,-5.1380000077188,0.121306955814362,-4.250000230968,0.624668836593628,0
0.127974003553391,-4.87999990582466,0.127974003553391,-3.87399992905557,0.664737701416016,0
0.134641051292419,-4.61799977347255,0.134641051292419,-3.52400005795062,0.671379864215851,0
0.14130811393261,-4.36000013723969,0.14130811393261,-3.1769999768585,0.679713726043701,0
0.147975161671638,-4.36000013723969,0.147975161671638,-3.1769999768585,0.688047587871552,0
0.154642224311829,-4.13799984380603,0.154642224311829,-2.87500000558794,0.696381449699402,0
0.161309272050858,-3.87699995189905,0.161309272050858,-2.58799991570413,0.704715311527252,0
0.167976319789886,-3.61100002191961,0.167976319789886,-2.26700003258884,0.713049232959747,0
0.174643382430077,-3.34800011478364,0.174643382430077,-1.96700007654727,0.721383154392242,0
0.181310430169106,-3.13699990510941,0.181310430169106,-1.70000002253801,0.729717016220093,0
0.187977477908134,-2.91400006972253,0.187977477908134,-1.45800004247576,0.738050937652588,0
0.194644540548325,-2.693000016734,0.194644540548325,-1.21300003957003,0.746384799480438,0
0.201311588287354,-2.51100002788007,0.201311588287354,-0.974999973550439,0.754718720912933,0
0.207978650927544,-2.3350000847131,0.207978650927544,-0.798000022768974,0.763052582740784,0
0.214645698666573,-2.14400002732873,0.214645698666573,-0.591000018175691,0.771386444568634,0
0.221312746405602,-1.98800000362098,0.221312746405602,-0.40300001273863,0.779720306396484,0
0.227979809045792,-1.81599997449666,0.227979809045792,-0.243999995291233,0.788054168224335,0
0.234646856784821,-1.81599997449666,0.234646856784821,-0.243999995291233,0.796388030052185,0
0.241313919425011,-1.64399994537234,0.241313919425011,-0.052999999752501,0.804721891880035,0
0.24798096716404,-1.503000035882,0.24798096716404,0.0950000030570664,0.813047409057617,0
0.254648000001907,-1.36400002520531,0.254648000001907,0.234999999520369,0.821381270885468,0
0.261315047740936,-1.23199995141476,0.261315047740936,0.377999996999279,0.829715132713318,0
0.267982095479965,-1.10100000165403,0.267982095479965,0.513000006321818,0.838048994541168,0
0.274649143218994,-1.01000000722706,0.274649143218994,0.633999996352941,0.845616102218628,0
0.281316190958023,-0.912000017706305,0.281316190958023,0.7259999983944,0.853949964046478,0
0.287983238697052,-0.783000024966896,0.287983238697052,0.837999978102744,0.86227548122406,0
0.294650286436081,-0.662999984342605,0.294650286436081,0.956000003498048,0.87060934305191,0
0.301317363977432,-0.584000023081899,0.301317363977432,1.07700005173683,0.878943204879761,0
0.307984411716461,-0.500000023748726,0.307984411716461,1.15000002551824,0.887277066707611,0
0.31465145945549,-0.395000010030344,0.31465145945549,1.2410000199452,0.895610928535461,0
0.321318507194519,-0.395000010030344,0.321318507194519,1.2410000199452,0.903944790363312,0
0.327985554933548,-0.303000007988885,0.327985554933548,1.34199997410178,0.912278652191162,0
0.334652632474899,-0.241999994614162,0.334652632474899,1.41400005668402,0.920612514019012,0
0.341319680213928,-0.150000007124618,0.341319680213928,1.48400000762194,0.928946375846863,0
0.347986727952957,-0.0690000015310943,0.347986727952957,1.57500000204891,0.937280237674713,0
0.354653775691986,-0.0180000006366754,0.354653775691986,1.63299997802824,0.945614099502563,0
0.361320823431015,0.0779999973019585,0.361320823431015,1.70000002253801,0.953947961330414,0
0.367987900972366,0.120999997307081,0.367987900972366,1.77199998870492,0.962281823158264,0
0.374654948711395,0.172000000020489,0.374654948711395,1.81899999734014,0.970615684986115,0
0.381321996450424,0.218000001041219,0.381321996450424,1.86299998313189,0.978949546813965,0
0.387989044189453,0.273999990895391,0.387989044189453,1.90399994608015,0.987283408641815,0
0.394656091928482,0.303999986499548,0.394656091928482,1.94800004828721,0.995617270469666,0
