10		10		10		10		10		10		10		10		10		10	
Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_UV		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond%		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Conc		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Pressure		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Flow		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Temp		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Fractions		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Inject		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Logbook	
ml	 mAU	ml	 mS/cm	ml	 %	ml	 %B	ml	 MPa	ml	 ml/min	ml	 °C	ml	(Fractions)	ml	(Injections)	ml	(Set Marks)
   3.038	 2007.131000	   3.165	   54.794000	   3.165	   54.800000	   3.165	  100.000000	   3.165	    0.000000	   3.165	    1.000000	   3.165	   24.800000	  47.010	 "20"	         	            	  -4.860	 "End Block"
   3.197	 2007.073000	   3.332	   54.792000	   3.332	   54.800000	   3.332	  100.000000	   3.332	    0.000000	   3.332	    1.000000	   3.332	   24.800000	  49.010	 "21"	         	            	  -4.860	 "Block Start_Conc_B"
   3.357	 2007.239000	   3.499	   54.784000	   3.499	   54.800000	   3.499	  100.000000	   3.499	    0.000000	   3.499	    1.000000	   3.498	   24.800000	  51.010	 "22"	         	            	  -4.860	 "Base SameAsMain"
   3.517	 2007.175000	   3.665	   54.778000	   3.665	   54.800000	   3.665	  100.000000	   3.665	    0.000000	   3.665	    1.000000	   3.665	   24.800000	  53.010	 "23"	         	            	  -4.860	 "Gradient    100.0 %B,     0.00 CV"
   3.677	 2007.297000	   3.832	   54.785000	   3.832	   54.800000	   3.832	  100.000000	   3.832	    0.000000	   3.832	    1.000000	   3.831	   24.800000	  55.010	 "24"	         	            	  -4.860	 "End Block"
   3.837	 2007.333000	   3.998	   54.811000	   3.998	   54.800000	   3.998	  100.000000	   3.998	    0.000000	   3.998	    1.000000	   3.998	   24.800000	  57.010	 "25"	         	            	  -4.860	 "Block Column_Equilibration"
   3.997	 2007.347000	   4.165	   54.793000	   4.165	   54.800000	   4.165	  100.000000	   4.165	    0.000000	   4.165	    1.000000	   4.164	   24.800000	  59.010	 "26"	         	            	  -4.860	 "Base SameAsMain"
   4.157	 2007.464000	   4.332	   54.798000	   4.332	   54.800000	   4.332	  100.000000	   4.332	    0.000000	   4.332	    1.000000	   4.331	   24.800000	  61.010	 "27"	         	            	  -3.560	 "Pause 15/03/2024, 12:32:26 PM (Manual)"
   4.316	 2007.572000	   4.498	   54.801000	   4.498	   54.800000	   4.498	  100.000000	   4.498	    0.000000	   4.498	    1.000000	   4.498	   24.800000	  63.010	 "28"	         	            	  -3.560	 "Continue 15/03/2024, 12:39:08 PM (Manual)"
   4.476	 2007.470000	   4.665	   54.782000	   4.665	   54.800000	   4.665	  100.000000	   4.665	    0.000000	   4.665	    1.000000	   4.664	   24.800000	  65.010	 "29"	         	            	  -0.030	 "End Block"
   4.636	 2007.400000	   4.831	   54.783000	   4.831	   54.800000	   4.831	  100.000000	   4.831	    0.000000	   4.831	    1.000000	   4.831	   24.800000	  67.010	 "30"	         	            	  -0.030	 "Block AutoZero_UV"
   4.796	 2007.230000	   4.998	   54.773000	   4.998	   54.800000	   4.998	  100.000000	   4.998	    0.000000	   4.998	    1.000000	   4.997	   24.800000	  69.010	 "31"	         	            	  -0.030	 "Base SameAsMain"
   4.956	 2007.277000	   5.164	   54.781000	   5.164	   54.800000	   5.164	  100.000000	   5.164	    0.000000	   5.164	    1.000000	   5.164	   24.800000	  71.010	 "32"	         	            	  -0.030	 "Watch_Off UV"
   5.116	 2007.136000	   5.331	   54.788000	   5.331	   54.800000	   5.331	  100.000000	   5.331	    0.000000	   5.331	    1.000000	   5.331	   24.800000	  73.010	 "33"	         	            	  -0.030	 "AutozeroUV "
   5.276	 2007.239000	   5.498	   54.790000	   5.498	   54.800000	   5.498	  100.000000	   5.498	    0.000000	   5.498	    1.000000	   5.497	   24.800000	  75.010	 "34"	         	            	  -0.030	 "End Block"
   5.436	 2007.332000	   5.664	   54.791000	   5.664	   54.800000	   5.664	  100.000000	   5.664	    0.000000	   5.664	    1.000000	   5.664	   24.800000	  77.010	 "35"	         	            	  -0.030	 "Block Aut_PressureFlow_Regulation"
   5.595	 2007.283000	   5.831	   54.785000	   5.831	   54.800000	   5.831	  100.000000	   5.831	    0.000000	   5.831	    1.000000	   5.830	   24.800000	  79.010	 "36"	         	            	  -0.030	 "Base Time {min}"
   5.755	 2007.253000	   5.997	   54.781000	   5.997	   54.800000	   5.997	  100.000000	   5.997	    0.000000	   5.997	    1.000000	   5.997	   24.800000	  81.010	 "37"	         	            	  -0.030	 "SystemPumpControlMode Normal ,    0.000 MPa,    0.000 ml/min"
   5.915	 2007.219000	   6.164	   54.798000	   6.164	   54.800000	   6.164	  100.000000	   6.164	    0.000000	   6.164	    1.000000	   6.163	   24.800000	  83.010	 "38"	         	            	  -0.030	 "End Block"
   6.075	 2007.459000	   6.331	   54.803000	   6.331	   54.800000	   6.331	  100.000000	   6.331	    0.000000	   6.331	    1.000000	   6.330	   24.800000	  85.010	 "39"	         	            	  -0.030	 "Block Sample_Injection_"
   6.235	 2007.423000	   6.497	   54.799000	   6.497	   54.800000	   6.497	  100.000000	   6.497	    0.000000	   6.497	    1.000000	   6.497	   24.800000	  87.010	 "40"	         	            	  -0.030	 "Base SameAsMain"
   6.395	 2007.376000	   6.664	   54.785000	   6.664	   54.800000	   6.664	  100.000000	   6.664	    0.000000	   6.664	    1.000000	   6.663	   24.800000	  89.010	 "41"	         	            	  -0.030	 "InjectionValve Inject "
   6.555	 2007.312000	   6.830	   54.790000	   6.830	   54.800000	   6.830	  100.000000	   6.830	    0.000000	   6.830	    1.000000	   6.830	   24.800000	  91.010	 "42"	         	            	  -0.030	 "Block Sample_Injection"
   6.714	 2007.355000	   6.997	   54.787000	   6.997	   54.800000	   6.997	  100.000000	   6.997	    0.000000	   6.997	    1.000000	   6.996	   24.800000	  93.010	 "43"	         	            	  -0.030	 "Base Volume {ml}"
   6.874	 2007.350000	   7.164	   54.784000	   7.164	   54.800000	   7.164	  100.000000	   7.164	    0.000000	   7.164	    1.000000	   7.163	   24.800000	  95.010	 "44"	         	            	  -0.020	 "'UPC-900' [0] error {77}: Autozero. Press Help."
   7.034	 2007.443000	   7.330	   54.788000	   7.330	   54.800000	   7.330	  100.000000	   7.330	    0.000000	   7.330	    1.000000	   7.329	   24.800000	  97.010	 "45"	         	            	   8.970	 "End Block"
   7.194	 2007.427000	   7.497	   54.820000	   7.497	   54.800000	   7.497	  100.000000	   7.497	    0.000000	   7.497	    1.000000	   7.496	   24.800000	  99.010	 "46"	         	            	   8.970	 "InjectionValve Load "
   7.354	 2007.316000	   7.663	   54.788000	   7.663	   54.800000	   7.663	  100.000000	   7.663	    0.000000	   7.663	    1.000000	   7.663	   24.800000	 101.010	 "47"	         	            	   8.990	 "End Block"
   7.514	 2007.497000	   7.830	   54.794000	   7.830	   54.800000	   7.830	  100.000000	   7.830	    0.000000	   7.830	    1.000000	   7.829	   24.800000	 103.010	 "48"	         	            	   8.990	 "Block Aut_PressureFlow_Reset"
